name,cr_name,type,url,desc,comments,default_copyright_statement,version,download,external,permission_required,attribution_required,share_alike,non_commercial,no_derivatives,rank
Public Domain,public_domain,public_domain,,Public Domain - No restrictions,,This Bible is in the Public Domain.,1,1,1,0,0,0,0,0,1
UK Crown Copyright / Public Domain,av1611,public_domain,,"Authorized King James Version copyright.  Crown Copyright in the UK, public domain elseware",,"This Bible is in the Public Domain in most parts of the world. &nbsp;However, in the United Kingdom, it is under perpetual Crown copyright. &nbsp;Permission to host or duplicate may be required.",1,1,1,0,1,1,0,0,2
"Copyrighted, Non-commercial Use Only",non_commercial,non_commercial,,"Copyrighted, but duplication is allowed for non-commercial purposes. ",,"This Bible is copyrighted, however it may be duplicated and used for non-commercial purposes only.",1,1,1,0,1,1,1,0,3
Proprietary Copyright,proprietary,proprietary,,"Standard, all rights reserved, restrictive copyright. Permission may be required from the publisher in order to download or use.",,"This Bible is copyrighted, and may not be duplicated or distributed without the permission of the publisher.",1,0,0,1,1,1,0,0,4
Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0),cc_by_sa_3.0,creative_commons,https://creativecommons.org/licenses/by-sa/3.0/deed.en,"You are free to: 
Share — copy and redistribute the material in any medium or format
Adapt — remix, transform, and build upon the material
for any purpose, even commercially.

Under the following terms:
Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.

ShareAlike — If you remix, transform, or build upon the material, you must distribute your contributions under the same license as the original.

No additional restrictions — You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits.",Used by Chinese KJV',(dynamicaly generated),3,1,1,0,1,1,0,0,10
Attribution 4.0 International (CC BY 4.0),cc_by_4.0,creative_commons,https://creativecommons.org/licenses/by/4.0,"You are free to:
Share — copy and redistribute the material in any medium or format
Adapt — remix, transform, and build upon the material
for any purpose, even commercially.
This license is acceptable for Free Cultural Works.
The licensor cannot revoke these freedoms as long as you follow the license terms.
Under the following terms:
Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.

No additional restrictions — You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits.",,(dynamicaly generated),4,1,1,0,1,0,0,0,11
Attribution-ShareAlike 4.0 International (CC BY-SA 4.0),cc_by_sa_4.0,creative_commons,https://creativecommons.org/licenses/by-sa/4.0,"You are free to:
Share — copy and redistribute the material in any medium or format
Adapt — remix, transform, and build upon the material
for any purpose, even commercially.
This license is acceptable for Free Cultural Works.
The licensor cannot revoke these freedoms as long as you follow the license terms.
Under the following terms:
Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.

ShareAlike — If you remix, transform, or build upon the material, you must distribute your contributions under the same license as the original.

No additional restrictions — You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits.",,(dynamicaly generated),4,1,1,0,1,1,0,0,12
Attribution-NoDerivatives 4.0 International (CC BY-ND 4.0),cc_by_nd_4.0,creative_commons,https://creativecommons.org/licenses/by-nd/4.0/,"You are free to:
Share — copy and redistribute the material in any medium or format
for any purpose, even commercially.
The licensor cannot revoke these freedoms as long as you follow the license terms.
Under the following terms:
Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.

NoDerivatives — If you remix, transform, or build upon the material, you may not distribute the modified material.

No additional restrictions — You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits.",,(dynamicaly generated),4,1,1,1,1,0,0,1,13
Attribution-NonCommercial 4.0 International,cc_by_nc_4.0,creative_commons,https://creativecommons.org/licenses/by-nc/4.0/,"You are free to:
Share — copy and redistribute the material in any medium or format
Adapt — remix, transform, and build upon the material
The licensor cannot revoke these freedoms as long as you follow the license terms.
Under the following terms:
Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.

NonCommercial — You may not use the material for commercial purposes.

No additional restrictions — You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits.",,(dynamicaly generated),4,1,1,0,1,0,1,0,14
Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0),cc_by_nc_sa_4.0,creative_commons,https://creativecommons.org/licenses/by-nc-sa/4.0/,"You are free to:
Share — copy and redistribute the material in any medium or format
Adapt — remix, transform, and build upon the material
The licensor cannot revoke these freedoms as long as you follow the license terms.
Under the following terms:
Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.

NonCommercial — You may not use the material for commercial purposes.

ShareAlike — If you remix, transform, or build upon the material, you must distribute your contributions under the same license as the original.

No additional restrictions — You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits.",,(dynamicaly generated),4,1,1,0,1,1,1,0,15
Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0),cc_by_nc_nd_4.0,creative_commons,https://creativecommons.org/licenses/by-nc-nd/4.0,"You are free to:
Share — copy and redistribute the material in any medium or format
The licensor cannot revoke these freedoms as long as you follow the license terms.
Under the following terms:
Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.

NonCommercial — You may not use the material for commercial purposes.

NoDerivatives — If you remix, transform, or build upon the material, you may not distribute the modified material.

No additional restrictions — You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits.",,(dynamicaly generated),4,1,1,1,1,1,1,1,16
"Proprietary Copyright, External Use allowed",proprietary_ex,proprietary,,"Standard, all rights reserved, restrictive copyright, but permission for external use (via API call) has been granted. Permission may be required from the publisher in order to download or use",,,1,0,1,1,1,0,0,0,5
Permissive Proprietary,proprietary_perm,proprietary,,"Published under standard, all rights reserved, restrictive copyright, but permission for downloading external use (via API call) has been granted. Permission may be required from the publisher in order to use in a third party install of Bible SuperSearch, however.",,,1,1,1,1,1,0,0,0,6
